Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kabel-telefonnyj;7190605;;;Номінальний діаметр з екраном (мм);Введіть число. Число повинно бути від 0 до 50
https://prom.ua/Kabel-telefonnyj;7190605;;;Номінальна товщина стінок оболонки (мм);Введіть число. Число повинно бути від 0 до 20
https://prom.ua/Kabel-telefonnyj;7190605;;;Наявність троса;Так
https://prom.ua/Kabel-telefonnyj;7190605;;;Наявність троса;Ні
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип захисту;Гофрована трубка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип захисту;Металева стрічка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип захисту;Оплітка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип захисту;Фольга
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал захисту;Діелектрик
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал захисту;Метал
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал захисту;ПВХ
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал захисту;Поліетилен
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал захисту;Гума
https://prom.ua/Kabel-telefonnyj;7190605;;;Швидкість передачі даних (кбіт/сек);Введіть число. Число повинно бути від 0 до 1000000
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;CCA
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;CCS
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;SCCS
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Алюмінієвий сплав
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Алюміній
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Біметал
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Кварцове скло
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Мідь
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Обміднений сталь
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Оміднений алюміній
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Пластмаса
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Посріблена мідь
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Сталь покрита міддю
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Скловолокно
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Фторцирконат
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал центральної жили;Халькогенідне скло
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;PTFE
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Вініл
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Маслонаповнений кабель
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;ПВХ
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Пластмас
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Полівінілхлорид
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Полістирол
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Поліуретан
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Поліетилен
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Пресований окис магнію
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Просочена паперова ізоляція
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Гума
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Скло
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Тефлон
https://prom.ua/Kabel-telefonnyj;7190605;;;Матеріал ізоляції;Фторопласт
https://prom.ua/Kabel-telefonnyj;7190605;;;Термоізоляція;Поліетилен
https://prom.ua/Kabel-telefonnyj;7190605;;;Термоізоляція;Поліпропілен
https://prom.ua/Kabel-telefonnyj;7190605;;;Термоізоляція;Полівінілхлорид
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип зовнішньої оболонки;Вологостійка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип зовнішньої оболонки;Вогнестійка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип зовнішньої оболонки;Радиаційностійка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип зовнішньої оболонки;Світлотермостійка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип зовнішньої оболонки;Теплостійка
https://prom.ua/Kabel-telefonnyj;7190605;;;Тип зовнішньої оболонки;Холодостійка
https://prom.ua/Kabel-telefonnyj;7190605;;;Материал оболочки;FEP
https://prom.ua/Kabel-telefonnyj;7190605;;;Материал оболочки;LSZH
https://prom.ua/Kabel-telefonnyj;7190605;;;Материал оболочки;PTFE
https://prom.ua/Kabel-telefonnyj;7190605;;;Материал оболочки;Алюміній
