category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;
301112;Подвесной адаптер DH-PFA102;Сумісний з серіями камер;;"SD42116 / 212I-HC, SD42212T-HN";Матеріал;;алюміній;Розміри;;Ф169x37 мм;Кріплення;;G1 1/2 "";Навантаження;;3 Кг;Вага;;250г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;180 x 180 x 50 мм;Вага брутто;;0.341 кг;Строк гарантії;;12 міс.;;;
301112;Подвесной адаптер PFA103;Сумісний з серіями камер;;SD29204T-GN (-W);Матеріал;;алюміній;Розміри;;Ф133х37 мм;Кріплення;;G1 1/2 "";Навантаження;;3 Кг;Вага;;130г;Колір;;білий;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;180 x 50 x 175 мм;Вага брутто;;0.18 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Подвесной кронштейн DS-1271ZJ-120;Сумісний з серіями камер;;Дивитися таблицю сумісності;Матеріал;;Алюмінієвий сплав;Розміри;;Φ150 × 573 мм;Навантаження;;4500 г;Вага;;1290 г;Колір;;білий;Кількість в ящику;;6 шт;Розмір упаковки (Ш х В х Г);;260 x 95 x 345 мм;Вага брутто;;1.62 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Потолочный кронштейн DH-PFB5203C;Матеріал;;"СПЦК, ПК";Розміри;;212 × 212 × 106 мм;Навантаження;;1 кг;Робоча температура;;–40 °C - +60 °C;Розмір упаковки (Ш х В х Г);;210 x 110 x 210 мм;Вага брутто;;0.46 кг;;;;;;;;;;;;;;;;;;;;;;;;
301112;потолочный кронштейн DS-1663ZJ-P;Матеріал;;алюміній;Розміри;;Ø  116.5 ×57 мм;Навантаження;;10 кг;Вага;;380 г;Розмір упаковки (Ш х В х Г);;57 x 116 x 116 мм;Вага брутто;;0.38 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;
301112;Потолочный кронштейн PFB300C;Матеріал;;алюміній+пластик;Розміри;;Φ133.6 x235.5 мм;Навантаження;;7 кг;Вага;;780 г;Робоча температура;;-40ºC~+60ºC;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;140 x 140 x 250 мм;Вага брутто;;0.88 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Потолочный кронштейн для камер PFB200C;Матеріал;;SECC&PC;Розміри;;Φ166 x 76 мм;Навантаження;;1000 г;Вага;;320 г;Колір;;білий;Робоча температура;;-40ºC ~ + 60ºC;Вологість;;0 ~ 90% RH;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;166 x 76 x 166 мм;Вага брутто;;0.32 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;стойка DS-2251ZJ;Розміри;;Φ 250 × 1570 мм;Навантаження;;6 кг;Розмір упаковки (Ш х В х Г);;250 x 250 x 1270 мм;Вага брутто;;3.308 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Стойка для камеры LPR L1300-R117;Матеріал;;сталь Q235;Розміри;;Φ 60 × 1300 мм;Вага;;8.8 кг;Розмір упаковки (Ш х В х Г);;350 x 1370 x 350 мм;Вага брутто;;10 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;
301112;Угловой кронштейн DH-PFA151;Сумісний з серіями камер;;дивіться в файлі ""сумісність"";Матеріал;;SECC;Розміри;;243x170x138 мм;Навантаження;;10 Кг;Вага;;1700р;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;84 x 396 x 297 мм;Вага брутто;;2.386 кг;Строк гарантії;;12 міс.;;;;;;
301112;Штатив для тепловизионной камеры (термографа) DS-2907ZJ;Розмір;;"1 850 мм (у складеному вигляді: 525 мм) Ø секції: макс. 28 мм, хв. 19 мм";Вага;;2400 г;Матеріал;;Алюмінієвий сплав;Кількість в ящику;;6 шт;Розмір упаковки (Ш х В х Г);;550 x 150 x 150 мм;Вага брутто;;2.98 кг;Строк гарантії;;36 міс.;;;;;;;;;;;;;;;;;;;;;
