category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;
301112;Кронштейн DS-1662ZJ;Матеріал;;алюміній;Розміри;;Φ116.5×500 мм;Розмір упаковки (Ш х В х Г);;130 x 130 x 510 мм;Вага брутто;;1.64 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Кронштейн для PanoVu камер DS-1603ZJ-P;Сумісний з серіями камер;;PanoVu;Матеріал;;алюміній;Розміри;;364х182х98 мм;Навантаження;;20 кг;Вага;;1400 г;Колір;;Срібний;Розмір упаковки (Ш х В х Г);;230 x 160 x 420 мм;Вага брутто;;1.4 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Кронштейн для PTZ камер DS-1661ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;Ф116х200 мм;Навантаження;;30 кг;Вага;;600г;Колір;;білий;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;130 x 130 x 220 мм;Вага брутто;;0.94 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Кронштейн для PTZ камер DS-1663ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;Ф116х57 мм;Навантаження;;30 кг;Вага;;380г;Колір;;білий;Кількість в ящику;;36 шт;Розмір упаковки (Ш х В х Г);;125 x 75 x 125 мм;Вага брутто;;0.54 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Кронштейн для Speed Dome камер DS-1602ZJ-ВОХ-POLE;Матеріал;;Алюмінієвий сплав і сталь;Розміри;;209.7 x 314 x 600.8 мм;Кріплення;;Кріплення на стіну / стовп;Навантаження;;До 10 кг;Вага;;"6,84 кг";Колір;;білий;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;270 x 240 x 330 мм;Вага брутто;;7.54 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Кронштейн для видеокамер DS-1280ZJ-DM8;Сумісний з серіями камер;;Дивитися таблицю сумісності;Матеріал;;Алюмінієвий сплав;Розміри;;Ф127х35 мм;Навантаження;;1 кг;Вага;;210 г;Колір;;білий;Кількість в ящику;;80 шт;Розмір упаковки (Ш х В х Г);;140 x 50 x 170 мм;Вага брутто;;0.303 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Кронштейн для камеры PiPo PP-L1530 15x30см;Розміри;;15х30 см;Розмір упаковки (Ш х В х Г);;160 x 80 x 380 мм;Вага брутто;;0.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Кронштейн для корпусных камер DS-1269ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;493x246x88 мм;Навантаження;;6 Кг;Вага;;540г;Колір;;білий;Розмір упаковки (Ш х В х Г);;95 x 525 x 220 мм;Вага брутто;;0.54 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;12 міс.
301112;Кронштейн для крепления в потолок DS-1227ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;210х90 мм;Кріплення;;Ф210 мм;Навантаження;;4.5 Кг;Вага;;600г;Колір;;білий;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;210 x 100 x 220 мм;Вага брутто;;0.68 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Кронштейн для крепления на столб DS-1275ZJ (Україна);Сумісний з серіями камер;;Дивіться файл сумісності;Матеріал;;сталь;Розміри;;"Ф 67-127мм, 127х46х250мм";Кріплення;;на стовп;Навантаження;;10 кг;Вага;;1.3 кг;Колір;;білий;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;110 x 90 x 240 мм;Вага брутто;;0.2 кг;;;;;;;;;;;;
