category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
70501;Накопитель флеш USB Kingston DataTraveler 70 128GB USB Type-C;Форм-фактор;;Моноблок;Ємність;;128 ГБ;Інтерфейс користувача;;USB Type-C;Розмір упаковки (Ш х В х Г);;100 x 15 x 120 мм;Вага брутто;;20;Строк гарантії;;60 міс.
70501;Накопитель флеш USB Kingston Exodia M Black Red 128GB USB 3.2 Type-A Gen1 DT;Форм-фактор;;Брелок;Ємність;;128 ГБ;Інтерфейс користувача;;USB 3.2;Розмір упаковки (Ш х В х Г);;100 x 20 x 120 мм;Вага брутто;;20;Строк гарантії;;60 міс.
