category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
302308;Безконтактна кнопка виходу ISK-841C;Розмір упаковки (Ш х В х Г);;86 x 26 x 86 мм;Вага брутто;;200;Розміри;;86x86x25.7;Номінал струму;;12VDC;Материал;;Нержавеющая сталь;Рабочая температура;;-10 ~ + 55 ℃;Строк гарантії;;12 міс.;Тип устройства;;Безконтактна кнопка виходу;Інтерфейси виходу;;NO / NC / COM;Вага;г;200;Влажность;;0 ~ 95% (не утворює конденсат);Тип двери;;порожня двері;;;;;
302308;Короб під кнопку для системи контролю доступу Yli Electronic MBB-811C-M;Розмір упаковки (Ш х В х Г);;86 x 26 x 86 мм;Вага брутто;;180;Розміри;;86х86х25 мм;Строк гарантії;;12 міс.;Вага;г;180;Совместимость;;ІБК-841К;Метод роботи;;Короб під кнопку для системи контролю доступу;;;;;;;;;;;;;;;;;;;;
302308;Сенсорна кнопка виходу Atis Exit-W;Розмір упаковки (Ш х В х Г);;56 x 86 x 20 мм;Вага брутто;;200;Розміри;;85х55х20мм;Номінал струму;;12-28В/3A;Материал;;ABS пластик;Строк гарантії;;12 міс.;Тип устройства;;сенсорна кнопка;;;;;;;;;;;;;;;;;;;;
302308;Контактна кнопка виходу ATIS Exit-PM (пластик);Розмір упаковки (Ш х В х Г);;70 x 40 x 70 мм;Вага брутто;;50;Розміри;;60х60х40мм;Номінал струму;;10А;Строк гарантії;;12 міс.;Монтаж;;накладний;;;;;;;;;;;;;;;;;;;;;;;
302308;Кнопка виходу безконтактна ATIS Exit-K6w;Розмір упаковки (Ш х В х Г);;35 x 35 x 95 мм;Вага брутто;;140;Розміри;;78 x 32 x 23 мм;Номінал струму;;2А при 12В;Тип устройства;;відстань детекції: 5-20 см (регулюється);Контакти;;NO/NC/COM;;;;;;;;;;;;;;;;;;;;;;;
302308;Контактна кнопка виходу Yli Electronic ABK-800A (метал);Розмір упаковки (Ш х В х Г);;90 x 40 x 105 мм;Вага брутто;;0.14 кг;Розміри;;86 х 50 х 20 мм;Номінал струму;;3А;Материал;;алюмінієва панель;Рабочая температура;;-30° - +50°;Строк гарантії;;12 міс.;Тип устройства;;кнопка виходу;;;;;;;;;;;;;;;;;
302308;Контактна кнопка виходу Yli Electronic ABK-800B (метал);Розмір упаковки (Ш х В х Г);;32 x 25 x 83 мм;Вага брутто;;120;Розміри;;86 х 86 х 20 мм;Номінал струму;;3А;Материал;;Алюминий;Рабочая температура;;-30 ~ +50;Строк гарантії;;12 міс.;Тип устройства;;механічна кнопка;Интерфейсы;;NO/NC/COM;Совместимость;;"монтажні коробки: MBB-800B-M, MBB-800B-P, MBB-800B-PM, MBB-811C-M";;;;;;;;;;;
302308;Контактная кнопка выхода Yli Electronic PBK-814C(LED) (метал);Розмір упаковки (Ш х В х Г);;86 x 86 x 31 мм;Вага брутто;;250;Розміри;;86х86х31 мм;Номінал струму;;36В DC/3А;Материал;;Нержавеющая сталь;Рабочая температура;;-10 ~ +55C;Строк гарантії;;12 міс.;Монтаж;;Врезной;Інтерфейси виходу;;NO/NC/COM;;;;;;;;;;;;;;
302308;Контактная кнопка выхода Yli Electronic PBK-814A (метал);Розмір упаковки (Ш х В х Г);;110 x 50 x 90 мм;Вага брутто;;90;Розміри;;90х35х31 мм;Номінал струму;;36В DC/3А;Материал;;Нержавеющая сталь;Рабочая температура;;-10 ~ +55C;Строк гарантії;;12 міс.;Монтаж;;Врезной;Інтерфейси виходу;;NO/NC/COM;;;;;;;;;;;;;;
302308;Контактна кнопка виходу ATIS Exit-6D (пластик);Розмір упаковки (Ш х В х Г);;100 x 100 x 100 мм;Вага брутто;;100;Розміри;;85х85х25 мм;Номінал струму;;AC/DC220В/10A;Материал;;ABS пластик;Строк гарантії;;12 міс.;Монтаж;;накладний;Інтерфейси виходу;;NO/NC/COM;;;;;;;;;;;;;;;;;
