category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
6371204;Высокочувствительный микрофон DH-HAP120;Площа;;10 - 70 м2;Чутливість мікрофона;;-34dB;Частотна характеристика;;80Hz ~ 16kHz;Напрямок;;всеспрямований;SNR;;58дБ;Динамічний діапазон;;74Дб;Вихідний опір;;600 Ом;Живлення;;DC 12В;Потужність споживання;;40мА;Матеріал;;алюміній;Розміри;;Ф40х20 мм;Вага;;48г;Розмір упаковки (Ш х В х Г);;95 x 50 x 95 мм;Вага брутто;;0.08 кг;Строк гарантії;;12 міс.
6371204;Внутренний охранный микрофон Hikvision DS-2FP2061;Формат;;0 dB - 90 dB;Живлення;;12 VDC;Розмір упаковки (Ш х В х Г);;35 x 90 x 90 мм;Вага брутто;;0.08 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
