category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
14191103;Блок живлення Full Energy BGM-123Pro 12В 3А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;AC176-245V;Выходное напряжение;В;DC 12В;Сила струму на виході;;3А;Строк гарантії;;12 міс.;Розміри;;58x85x33 мм;Тип устройства;;Перфорований блок живлення;Материал;;Металл;Індикація станів;;світлова індикація;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGM-1220Pro 12В 20А;Вага брутто;;300;Розмір упаковки (Ш х В х Г);;160 x 50 x 100 мм;Входное напряжение;;175-245 В;Выходное напряжение;В;12 В;Сила струму на виході;;20 А;Строк гарантії;;12 міс.;Розміри;;110 x 198 x 50 мм;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGM-1210Pro 12В 10А;Вага брутто;;0.4 кг;Розмір упаковки (Ш х В х Г);;105 x 50 x 170 мм;Входное напряжение;;AC176-245V;Выходное напряжение;В;DC 12В;Сила струму на виході;;10А;Строк гарантії;;12 міс.;Розміри;;98x158x43мм;Тип устройства;;Перфорований блок живлення;Кількість в ящику;;40 шт;Материал;;Металл;Індикація станів;;світлова індикація;;;;;;;;;;;
14191103;Блок живлення Full Energy BGM-1210Lite 12В 10А;Вага брутто;;0.3 кг;Розмір упаковки (Ш х В х Г);;160 x 50 x 100 мм;Входное напряжение;;176–245 В;Выходное напряжение;В;12 В;Сила струму на виході;;10 А;Строк гарантії;;12 міс.;Особенности;;2 канала;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BG-125/4 12В 5А;Вага брутто;;0.6 кг;Розмір упаковки (Ш х В х Г);;163 x 163 x 480 мм;Входное напряжение;;~175...240 В;Выходное напряжение;В;+11-14 В;Сила струму на виході;;5 А;Строк гарантії;;12 міс.;Розміри;;163 х 163 х 48 мм;Тип устройства;;Блок живлення імпульсний;Рабочая температура;;-10 ~ +50;Кількість каналів навантаження;;4;Додаткові характеристики;;запобіжники по 1.25 А на кожен канал;;;;;;;;;;;
14191103;Блок живлення Full Energy BG-1215 12В 1.5А;Вага брутто;;0.07 кг;Розмір упаковки (Ш х В х Г);;40 x 30 x 40 мм;Входное напряжение;;220В;Выходное напряжение;В;12В;Сила струму на виході;;1.5А;Строк гарантії;;12 міс.;Тип устройства;;Імпульсний блок живлення;Рабочая температура;;-10 ° C - + 50 ° C;Кількість каналів навантаження;;1;Материал;;Пластик;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BG-1210/9 12В 10А;Вага брутто;;0.6 кг;Розмір упаковки (Ш х В х Г);;205 x 235 x 53 мм;Входное напряжение;;~220...240 В;Выходное напряжение;В;+11-14 В;Сила струму на виході;;10 А;Строк гарантії;;12 міс.;Розміри;;235 х 205 х 53 мм;Тип устройства;;Блок живлення імпульсний;Мощность;;120 Вт;Рабочая температура;;-10 ~ +50;Кількість каналів навантаження;;9;;;;;;;;;;;
14191103;Блок живлення Faraday Electronics 80Wt/12-36V/ALU 11.8-37.5В 6.7-2.7А;Вага брутто;;0.32 кг;Розмір упаковки (Ш х В х Г);;80 x 50 x 140 мм;Входное напряжение;;"AC 86-264, DC 110-380 В";Сила струму на виході;;6.7 (12В) / 4 (24В) / 2.7 (36В) А;Строк гарантії;;60 міс.;Розміри;;134 х 74 х 37 мм;Тип устройства;;Імпульсний;Мощность;;80 Вт;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Faraday Electronics 60Wt/12-36V/PL 12–36В 5-2A;Вага брутто;;0.22 кг;Розмір упаковки (Ш х В х Г);;80 x 50 x 120 мм;Входное напряжение;;"AC 86-264, DC 110-380 В";Выходное напряжение;В;12–36 В;Сила струму на виході;;5 (12В) / 3 (24В) / 2 (36В) А;Строк гарантії;;60 міс.;Розміри;;112 х 70 х 37 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;;;;;;;;;;;;;;;;;
14191103;Блок живлення Faraday Electronics 60Wt/12-36V/ALU 12–36В 5-2А;Вага брутто;;0.22 кг;Розмір упаковки (Ш х В х Г);;80 x 50 x 130 мм;Входное напряжение;;"AC 86-264, DC 110-380 В";Выходное напряжение;В;12–36 В;Сила струму на виході;;5 (12В) / 3 (24В) / 2 (36В) А;Строк гарантії;;60 міс.;Розміри;;113 х 68 х 36 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;;;;;;;;;;;;;;;;;
14191103;Блок живлення Faraday Electronics 40Wt/12-36V/PL 11.8-37.5В 3.4-1.4А;Вага брутто;;0.16 кг;Розмір упаковки (Ш х В х Г);;70 x 40 x 130 мм;Входное напряжение;;"AC 86-264, DC 110-380 В";Выходное напряжение;В;11.8-37.5 В;Сила струму на виході;;3.4 (12В) / 2 (24В) / 1.4 (36В) А;Строк гарантії;;60 міс.;Розміри;;101 х 58 х 29 мм;Тип устройства;;Імпульсний;Мощность;;40 Вт;;;;;;;;;;;;;;;;;
14191103;Блок живлення Faraday Electronics 40Wt/12-36V/ALU 12–36В 3.4-1.4А;Вага брутто;;0.18 кг;Розмір упаковки (Ш х В х Г);;70 x 40 x 110 мм;Входное напряжение;;"AC 86-264, DC 110-380 В";Выходное напряжение;В;12–36 В;Сила струму на виході;;3.4 (12В) / 2 (24В) / 1.4 (36В) А;Строк гарантії;;60 міс.;Розміри;;102 х 61 х 31 мм;Тип устройства;;Імпульсний;Мощность;;40 Вт;;;;;;;;;;;;;;;;;
14191103;Блок живлення Ewind EW-PI240W-48 на DIN-рейку 240 Вт/48 В;Вага брутто;;0.84 кг;Розмір упаковки (Ш х В х Г);;65 x 165 x 170 мм;Входное напряжение;;90 - 264В AC;Выходное напряжение;В;48В DC;Сила струму на виході;;5 А;Строк гарантії;;36 міс.;Розміри;;130.5 х 121 х 40 мм;Мощность;;240 Вт;Рабочая температура;;-30- +70℃;Кількість каналів навантаження;;1;Особенности;;"Захист від перевантаження, перенапруги, перевантаження по струму, короткого замикання";Кількість в ящику;;20 шт;Додаткові характеристики;;GB4943/EN60950;;;;;
14191103;Блок живлення Ewind EW-PI120W-48 на DIN-рейку 120 Вт/48 В;Вага брутто;;0.58 кг;Розмір упаковки (Ш х В х Г);;65 x 160 x 170 мм;Входное напряжение;;90 - 264В AC;Выходное напряжение;В;48В DC;Сила струму на виході;;2.5 А;Строк гарантії;;36 міс.;Розміри;;130.5 х 121 х 40 мм;Мощность;;120 Вт;Рабочая температура;;-30- +70℃;Кількість каналів навантаження;;1;Особенности;;"Захист від перевантаження, перенапруги, перевантаження по струму, короткого замикання";Кількість в ящику;;20 шт;Додаткові характеристики;;GB4943/EN60950;;;;;
14191103;Блок живлення Dahua PFM301-EN 12В 2A;Вага брутто;;0.18 кг;Розмір упаковки (Ш х В х Г);;95 x 40 x 125 мм;Входное напряжение;;180–264 ВAC;Выходное напряжение;В;12В DC;Сила струму на виході;;2А;Строк гарантії;;12 міс.;Мощность;;24Вт;Защита от короткого замыкания;;Підтримує;Кількість в ящику;;50 шт;;;;;;;;;;;;;;;;;
14191103;Блок живлення Dahua DH-PFM344D-4CH-EN 12В 2.5А;Вага брутто;;0.34 кг;Розмір упаковки (Ш х В х Г);;140 x 40 x 140 мм;Входное напряжение;;185 ВAC–240 ВAC;Выходное напряжение;В;12-15В DC;Сила струму на виході;;2-2.5А;Строк гарантії;;12 міс.;Розміри;;140.1 × 94.5 × 34.2 мм;Мощность;;"вихідна потужність: 12 Вт (на один канал), загальна потужність: 30 Вт";Рабочая температура;;–40 °C - +60 °C;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;4;Кількість в ящику;;48 шт;;;;;;;;
14191103;Блок живлення Dahua DH-PFM320D-EN 12В 2А;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;85 x 40 x 140 мм;Входное напряжение;;"AC 100 - 240 В, 50 / 60Гц, 0,6А";Выходное напряжение;В;DC12 В;Сила струму на виході;;2А;Строк гарантії;;12 міс.;Розміри;;104 х 45 х 33 мм;Тип устройства;;Блок живлення;Рабочая температура;;-30 ℃ - 70 ℃;Защита от короткого замыкания;;"Захист від перенапруги, захист від перегріву, захист від перевантаження по струму ESD: EN61000-4-2 +/- 4кВ контакт, +/- 8кв Повітря Сплеск: EN61000-4-5 """"Комбінована хвиля: загальний режим ± 4 КВ (12 Ом), Диференціальний режим ± 2 кВ (2 Ом)";Кількість в ящику;;50 шт;Додаткові характеристики;;Вхідна вилка: 2-контактний евроштекер;Довжина кабеля;;"Провід змінного струму: 50 см, провід постійного струму: 80 см";;;;;
14191103;Блок живлення BGW-1215 12В 1.5А IP66;Вага брутто;;0.07 кг;Розмір упаковки (Ш х В х Г);;40 x 30 x 40 мм;Входное напряжение;;220 В;Выходное напряжение;В;12 В;Сила струму на виході;;1.5 А;Строк гарантії;;12 міс.;Розміри;;43 х 40 х 27 мм;Тип устройства;;Блок живлення;Додаткові характеристики;;IP66;Довжина кабеля;;40+40 см;;;;;;;;;;;;;;
14191103;Блок живлення BG-1220/18;Вага брутто;;0.6 кг;Розмір упаковки (Ш х В х Г);;206 x 316 x 520 мм;Входное напряжение;;175-240В;Выходное напряжение;В;11–14В;Сила струму на виході;;20А;Строк гарантії;;12 міс.;Розміри;;316 х 206 х 52 мм;Тип устройства;;Блок живлення імпульсний;Рабочая температура;;-10 ~ +50;Кількість каналів навантаження;;18;;;;;;;;;;;;;;
14191103;Блок живлення 24В 3А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;24В;Выходное напряжение;В;3А;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення (для монтажа на DIN рейку) MeanWell HDR-150-24 24B 6.25А;Вага брутто;;0.36 кг;Розмір упаковки (Ш х В х Г);;100 x 65 x 120 мм;Входное напряжение;;85 В - 264 В;Сила струму на виході;;6.25 А;Строк гарантії;;24 міс.;Мощность;;150 Вт;Особенности;;Виконання блоку живлення На DIN рейку;;;;;;;;;;;;;;;;;;;;;;;
14191103;Адаптер живлення Dahua DH-PFM325D-1210EN 12В 1A;Вага брутто;;0.1 кг;Розмір упаковки (Ш х В х Г);;70 x 40 x 120 мм;Входное напряжение;;100–240В AC;Выходное напряжение;В;12 В;Мощность;;12 Вт;Кількість в ящику;;116 шт;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;AC/DC-перетворювач для LED Mean Well ELG-300-24A 24В 12.5А;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;60 x 30 x 155 мм;Входное напряжение;;100-305VAC/142-431VDC;Выходное напряжение;В;24V;Сила струму на виході;;12.5A;Строк гарантії;;24 міс.;Розміри;;246x77x39.5 мм;Рабочая температура;;-40 - +85 С;Особенности;;IP67;;;;;;;;;;;;;;;;;
14191103;Блок живлення з перфорованим корпусом BGM-125Lite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення для DVR KPL-40 12В 3.33А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення ББП-2401АС 24В 1А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення SAP-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGM-123Lite 12В 3А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Адаптер живлення Dahua PFM320D-015 12В 1.5 A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Адаптер живлення Dahua PFM300 12В 2А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
