category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
14191103;Блок живлення Mustang Energy PS-1205PBS;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;80 x 40 x 115 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;5 А;Розміри;;110 х 77 х 35 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1205PB;Вага брутто;;0.34 кг;Розмір упаковки (Ш х В х Г);;100 x 45 x 160 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;5 А;Розміри;;160 х 100х 43 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1205;Вага брутто;;320;Розмір упаковки (Ш х В х Г);;60 x 60 x 145 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;5 А;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;;;;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1203PB;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;80 x 40 x 120 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;3 А;Тип устройства;;Імпульсний;Мощность;;36 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;;;;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1203;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;70 x 70 x 150 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;3 А;Тип устройства;;Імпульсний;Мощность;;36 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;Особенности;;"Довжина шнура 12 В - 120 см, 220 В - 40 см";;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1201W IP67;Вага брутто;;100;Розмір упаковки (Ш х В х Г);;100 x 30 x 90 мм;Входное напряжение;;AC 220 В;Выходное напряжение;В;12В;Сила струму на виході;;1 А;Тип устройства;;Імпульсний;Мощность;;12 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;Особенности;;IP67;;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1201-L;Вага брутто;;0.15 кг;Розмір упаковки (Ш х В х Г);;60 x 60 x 120 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;0.7 А;Тип устройства;;Імпульсний;Мощность;;12 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;Особенности;;"Довжина шнура 12 В - 80 см, 220 В - 45 см";;;;;;;;;;;;;;
14191103;Блок живлення Mustang Energy PS-1201 12V/1A;Вага брутто;;0.12 кг;Розмір упаковки (Ш х В х Г);;55 x 60 x 110 мм;Входное напряжение;;AC 220 В;Выходное напряжение;В;12 В;Сила струму на виході;;1 А;Строк гарантії;;12 міс.;Розміри;;85 х 45 х 30 мм;Мощность;;12 Вт;Особенности;;"довжина шнура 12 В - 80 см, 220 В - 40 см.";;;;;;;;;;;;;;;;;
14191103;Блок живлення MikroTik 48V2A96W;Вага брутто;;600;Розмір упаковки (Ш х В х Г);;100 x 70 x 200 мм;Выходное напряжение;В;48В;Сила струму на виході;;2А;Строк гарантії;;12 міс.;Мощность;;96 Вт;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення MeanWell LRS-600-24;Вага брутто;;0.96 кг;Розмір упаковки (Ш х В х Г);;130 x 45 x 250 мм;Входное напряжение;;90 - 132/ 180 - 264 В АС;Выходное напряжение;В;24В;Сила струму на виході;;25А;Розміри;;225 х 124 х 41 мм;Мощность;;600 Вт;Рабочая температура;;-20 ~ +65℃;Додаткові характеристики;;I/P-O/P:3KVAC I/P-FG:2KVAC O/P-FG:0.5KVAC;;;;;;;;;;;;;;;;;
14191103;Блок живлення MeanWell DRC-40A;Вага брутто;;0.28 кг;Розмір упаковки (Ш х В х Г);;105 x 40 x 110 мм;Входное напряжение;;90-264 В АС/ 127-370 DC;Выходное напряжение;В;14 В;Сила струму на виході;;"1 канал 1.9А, 2 канал 1А";Строк гарантії;;24 міс.;Розміри;;40х90х100 мм;Мощность;;40 Вт;Рабочая температура;;-30 - +70°С;Защита от короткого замыкания;;Підтримує;;;;;;;;;;;;;;
14191103;Блок живлення Mean Well RS-25-12 12В 2.1А;Вага брутто;;0.23 кг;Розмір упаковки (Ш х В х Г);;82 x 99 x 30 мм;Входное напряжение;;"88 ~ 264В AC, 125 ~ 373В DC";Выходное напряжение;В;12 В;Сила струму на виході;;2.1А;Строк гарантії;;36 міс.;Розміри;;78 х 51 х 28 мм;Рабочая температура;;-20 ~ +70°C;Защита от короткого замыкания;;Підтримує;;;;;;;;;;;;;;;;;
14191103;Блок живлення Mean Well MDR-40-12 12В 3.33А;Вага брутто;;230;Розмір упаковки (Ш х В х Г);;82 x 99 x 30 мм;Входное напряжение;;85~264 В AC/120~370 В DC;Выходное напряжение;В;12 В;Сила струму на виході;;3.33 А;Строк гарантії;;24 міс.;Розміри;;40х90х100 мм;Тип устройства;;AC / DC-перетворювач;Мощность;;40 Вт;Рабочая температура;;-20 ~ +70;Защита от короткого замыкания;;Підтримує;;;;;;;;;;;
14191103;Блок живлення Mean Well LRS-50-12 12В 4.2А;Вага брутто;;230;Розмір упаковки (Ш х В х Г);;82 x 99 x 30 мм;Входное напряжение;;85-264 В АС/ 120-370 DC;Выходное напряжение;В;12В;Сила струму на виході;;4.2 А;Строк гарантії;;24 міс.;Розміри;;99×82×30 мм;Тип устройства;;AC / DC-перетворювач;Мощность;;50 Вт;Рабочая температура;;-30 - +70°С;Защита от короткого замыкания;;Підтримує;;;;;;;;;;;
14191103;Блок живлення Mean Well LPV-150-24 24В 6.3А;Вага брутто;;0.45 кг;Розмір упаковки (Ш х В х Г);;90 x 50 x 280 мм;Входное напряжение;;180~305 В AC/254~431 В DC;Выходное напряжение;В;24В;Сила струму на виході;;6.3А;Строк гарантії;;24 міс.;Розміри;;191х63х37.5 мм;Тип устройства;;AC / DC-перетворювач;Мощность;;150 Вт;Рабочая температура;;-25 - +65°С;Защита от короткого замыкания;;Підтримує;Класс защиты;;IP67;;;;;;;;
14191103;Блок живлення Mean Well HDR-60-48 48B 1.25А для монтажа на DIN рейку;Вага брутто;;0.2 кг;Розмір упаковки (Ш х В х Г);;60 x 60 x 100 мм;Входное напряжение;;85 - 264 В;Выходное напряжение;В;48В;Сила струму на виході;;1.25 А;Строк гарантії;;24 міс.;Мощность;;60 Вт;;;;;;;;;;;;;;;;;;;;;;;
