Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Мінімальний_обсяг_замовлення;Оптова_ціна;Мінімальне_замовлення_опт;Посилання_зображення;Наявність;Кількість;Номер_групи;Назва_групи;Посилання_підрозділу;Можливість_поставки;Термін_поставки;Спосіб_пакування;Спосіб_пакування_укр;Унікальний_ідентифікатор;Ідентифікатор_товару;Ідентифікатор_підрозділу;Ідентифікатор_групи;Виробник;Країна_виробник;Знижка;ID_групи_різновидів;Особисті_нотатки;Продукт_на_сайті;Термін_дії_знижки_від;Термін_дії_знижки_до;Ціна_від;Ярлик;HTML_заголовок;HTML_заголовок_укр;HTML_опис;HTML_опис_укр;Код_маркування_(GTIN);Номер_пристрою_(MPN);Вага,кг;Ширина,см;Висота,см;Довжина,см;Де_знаходиться_товар;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
200000;Вызывная панель Dahua DHI-VTO2211G-WP-S2 Mifare IP65;Виклична панель Dahua DHI-VTO2211G-WP-S2 Mifare IP65;DHI-VTO2211G-WP-S2, Dahua Technology DHI-VTO2211G-WP-S2, ip dahua technology, вызывная панель dahua technology, dahua technology вызывная панель, вызывная панель с широкоугольной камерой, широкоугольная вызывная панель, вызывная панель 1 мп, цифровая вызывная панель, вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона;DHI-VTO2211G-WP-S2, Dahua Technology DHI-VTO2211G-WP-S2, ip dahua technology, виклична панель dahua technology, dahua technology виклична панель, виклична панель з ширококутною камерою, ширококутна виклична панель, виклична панель 1 мп, цифрова виклична панель, виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону;● одноабонентская,<br>● накладной монтаж,<br>● кардридер для карт Mifare (память на 10 000 карт),<br>● автономная работа без домофона – возможна,<br>● IP65,<br>● 12V DC 1A, PoE;● одноабонентська,<br>● накладний монтаж,<br>● кардрідер для карт Mifare (пам'ять на 10 000 карт),<br>● автономна робота без домофону – можлива,<br>● IP65,<br>● 12V DC 1A, PoE;r;134,40;USD;шт.;;;;https://viatec.ua/upload/images/prod/2024-07/1_0_01_15_12433_533119495_crop1.webp, https://viatec.ua/upload/images/prod/2024-07/DHI-VTO2211G-WP-S22.webp;+;100;90718784;Вызывные видеопанели;https://prom.ua/Domofony-videodomofony;;;;;;99-00020144;3029;;Dahua Technology;;;;V, VMAX;https://viatec.ua/product/DHI-VTO2211G-WP-S2;;;;Ще краща  ціна за 📞;;;;;;;0,510;15,0;10,0;2,5;;Кількість абонентів;;1;Метод роботи;;механічна кнопка/карта;Зчитувач карт;;Mifare;Камера;;1/2.8″ 2 MP CMOS;Роздільна здатність;;720p, WVGA, D1, CIF;Кути огляду;;Г: 125°, В: 71°, Д: 142°;WDR;;120 дБ;Придушення шуму (DNR);;3D;Аудіо вхід;;1;Аудіо вихід;;динамік;Аудіо компресія;;H.264, H.265;Тип підсвічування;;ІЧ;Керування замком;;1;RS485;;1;Тривожні входи;;1;Тривожні виходи;;1;Ethernet;;1 10/100 Мбіт/с;Wi-Fi;;IEEE802.11b/802.11g/802.11n;Живлення;;Мережа 12В;PoE;;Підтримує;Потужність споживання;;5 Вт;Робоча температура;;-30°C - +60°C;Ступінь захисту;;IP65;Розміри;;150×100×25.4 мм;Монтаж;;накладний;Розмір упаковки (Ш х В х Г);;150 x 90 x 200 мм;Вага брутто;;510;Строк гарантії;;24 міс.;Роздільна здатність камери (Мп);;1;Кут огляду камери по горизонталі;град.;125;Кут огляду камери по вертикалі;град.;71;Кут огляду камери;град.;125;Інтерфейс;;Бездротовий;Мінімальна робоча температура;град.;-30;Максимальна робоча температура;град.;60;Захист обладнання від води і пилу IP;;IP65;Ширина;мм;150;Висота;мм;100;Довжина;мм;25.4;Тип встановлення;;Накладної;Вага;г;510;Гарантійний термін;міс;24;Тип устройства;;Відеопанель кольорова виклична;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200001;Вызывная панель Slinex ML-16HR Grey IP65;Виклична панель Slinex ML-16HR Grey IP65;ML-16HR, Slinex ML-16HR, ip slinex, вызывная панель slinex, slinex вызывная панель, аналоговая вызывная панель, вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона;ML-16HR, Slinex ML-16HR, ip slinex, виклична панель slinex, slinex виклична панель, аналогова виклична панель, виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону;Угол обзора по горизонтали 72°, Разрешение камеры 800 ТВЛ, Тип матрицы 1/3″ CMOS, Тип подсветки ИК подсветка, Мин. освещенность 0,1 лк до 1,2 м, Материал корпуса Металлический сплав, Класс защищенности IP65, Питание +12В (от монитора), Тип управления замком Нормально-открытые контакты (сухая пара), Размеры 41×122×23 мм, Температура эксплуатации -40 – +65 °С;Кут огляду по горизонталі 72°, Роздільна здатність камери 800 ТВЛ, Тип матриці 1/3″ CMOS, Тип підсвічування ІЧ підсвічування, Мін. освітленість 0,1 лк до 1,2 м, Матеріал корпусу Металевий сплав, Клас захищеності IP65, Живлення +12В (від монітора), Тип управління замком Нормально-відкриті контакти (суха пара), Розміри 41×122×23 мм, Температура експлуатації -40 – +65 °С;r;34,44;USD;шт.;;;;https://viatec.ua/upload/images/prod/pic_g.webp, https://viatec.ua/upload/images/prod/pic_g1.webp, https://viatec.ua/upload/images/prod/pic_g2.webp;+;100;90718784;Вызывные видеопанели;https://prom.ua/Domofony-videodomofony;;;;;;99-00007363;3029;;Slinex;;;;V, VMAX;https://viatec.ua/product/ML-16HR-grey;;;;Ще краща  ціна за 📞;;;;;;;0,030;4,1;12,2;2,3;;Кількість абонентів;;1;Камера;;1/3″ CMOS;Роздільна здатність;;800 ТВЛ;Кути огляду;;72°;Тип підсвічування;;ІЧ 1.5 м;Керування замком;;Нормально-відкриті контакти (суха пара);Живлення;;Мережа 12В;Потужність споживання;;300 мА (4 Вт);Робоча температура;;-40 – +65 °С;Ступінь захисту;;IP65;Розміри;;41×122×23 мм;Розмір упаковки (Ш х В х Г);;130 x 45 x 24 мм;Вага брутто;;30;Строк гарантії;;24 міс.;Роздільна здатність камери (ТВЛ);;800;Кут огляду камери;град.;72;Захист обладнання від води і пилу IP;;IP65;Ширина;мм;41;Висота;мм;122;Довжина;мм;23;Вага;г;30;Гарантійний термін;міс;24;Тип устройства;;Відеопанель кольорова виклична;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200002;Вызывная панель Slinex ML-20HD (black/gold) IP65;Виклична панель Slinex ML-20HD (black/gold) IP65;ML-20HD, Slinex ML-20HD, ip slinex, вызывная панель slinex, slinex вызывная панель, вызывная панель с широкоугольной камерой, широкоугольная вызывная панель, аналоговая вызывная панель, вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона;ML-20HD, Slinex ML-20HD, ip slinex, виклична панель slinex, slinex виклична панель, виклична панель з ширококутною камерою, ширококутна виклична панель, аналогова виклична панель, виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону;Угол обзора по горизонтали 115˚, Разрешение камеры • 1920×1080 (режим AHD-H), • 1280×720 (режим AHD-M), • 960 ТВЛ (режим CVBS), Размеры 45×130×24 мм, Температура эксплуатации -40 – +50 °С, Тип матрицы 1/2,9″ CMOS, ИК подсветка, Мин. освещенность 0,01 лк до 1,5 м, Класс защищенности IP65, НАПРЯЖЕНИЕ ПИТАНИЯ Постоянное, +12 В , Тип управления замком: Нормально-открытые контакты (сухая пара), Уникальные функции: Механический ИК фильтр, Градиентная подсветка кнопки, Поддержка CVBS/AHD, Отдельное питание видеокамеры для подключения к DVR;Кут огляду по горизонталі 115˚, Розд. зд. камери • 1920 × 1080 (режим AHD-H), • 1280 × 720 (режим AHD-M), • 960 ТВЛ (режим CVBS), Розміри 45 × 130 × 24 мм, Температура експлуатації -40 - +50 ° С, Тип матриці 1 / 2,9 ″CMOS, ІЧ підсвічування, Мін. Освітленість 0,01 лк до 1,5 м, Клас захищеності IP65, НАПРУГА ЖИВЛЕННЯ Постійна, +12 В , Тип управління замком: Нормально-відкриті контакти (суха пара), Унікальні функції: Механічний ІЧ фільтр, Градієнтне підсвічування кнопки, Підтримка CVBS / AHD, Окреме живлення відеокамери для підключення до DVR;r;57,12;USD;шт.;;;;https://viatec.ua/upload/images/prod/ML-20HDblackgold.webp;+;100;90718784;Вызывные видеопанели;https://prom.ua/Domofony-videodomofony;;;;;;99-00006909;3029;;Slinex;;;;V, VMAX;https://viatec.ua/product/slinex-ml-20hd-black-gold;;;;Ще краща  ціна за 📞;;;;;;;0,300;4,5;13,0;2,4;;Кількість абонентів;;1;Камера;;1/2,9″ CMOS;Роздільна здатність;;1920×1080 (режим AHD-H), 1280×720 (режим AHD-M), 960 ТВЛ (режим CVBS);Кути огляду;;115°;Тип підсвічування;;ІЧ 1.5 м;Керування замком;;Нормально-відкриті контакти (суха пара);Живлення;;Мережа 12В;Робоча температура;;-40 – +50 °С;Ступінь захисту;;IP65;Розміри;;45×130×24 мм;Розмір упаковки (Ш х В х Г);;130 x 45 x 24 мм;Вага брутто;;300;Строк гарантії;;24 міс.;Роздільна здатність камери (ТВЛ);;960;Кут огляду камери;град.;115;Захист обладнання від води і пилу IP;;IP65;Ширина;мм;45;Висота;мм;130;Довжина;мм;24;Вага;г;300;Гарантійний термін;міс;24;Тип устройства;;Відеопанель кольорова виклична;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200003;Вызывная панель Slinex ML-20HD (silver/black) IP65;Виклична панель Slinex ML-20HD (silver/black) IP65;ML-20HD, Slinex ML-20HD, ip slinex, вызывная панель slinex, slinex вызывная панель, вызывная панель с широкоугольной камерой, широкоугольная вызывная панель, аналоговая вызывная панель, вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона;ML-20HD, Slinex ML-20HD, ip slinex, виклична панель slinex, slinex виклична панель, виклична панель з ширококутною камерою, ширококутна виклична панель, аналогова виклична панель, виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону;Угол обзора по горизонтали 115˚, Разрешение камеры • 1920×1080 (режим AHD-H), • 1280×720 (режим AHD-M), • 960 ТВЛ (режим CVBS), Размеры 45×130×24 мм, Температура эксплуатации -40 – +50 °С, Тип матрицы 1/2,9″ CMOS, ИК подсветка, Мин. освещенность 0,01 лк до 1,5 м, Класс защищенности IP65, НАПРЯЖЕНИЕ ПИТАНИЯ Постоянное, +12 В, Тип управления замком: Нормально-открытые контакты (сухая пара), Уникальные функции: Механический ИК фильтр, Градиентная подсветка кнопки, Поддержка CVBS/AHD, Отдельное питание видеокамеры для подключения к DVR;Кут огляду по горизонталі 115˚, Розд. зд. камери • 1920 × 1080 (режим AHD-H), • 1280 × 720 (режим AHD-M), • 960 ТВЛ (режим CVBS), Розміри 45 × 130 × 24 мм, Температура експлуатації -40 - +50 ° С, Тип матриці 1 / 2,9 ″CMOS, ІЧ підсвічування, Мін. Освітленість 0,01 лк до 1,5 м, Клас захищеності IP65, НАПРУГА ЖИВЛЕННЯ Постійна, +12 В , Тип управління замком: Нормально-відкриті контакти (суха пара), Унікальні функції: Механічний ІЧ фільтр, Градієнтне підсвічування кнопки, Підтримка CVBS / AHD, Окреме живлення відеокамери для підключення до DVR;r;57,12;USD;шт.;;;;https://viatec.ua/upload/images/prod/ML-20HDblackgrey.webp;+;100;90718784;Вызывные видеопанели;https://prom.ua/Domofony-videodomofony;;;;;;99-00006908;3029;;Slinex;;;;V, VMAX;https://viatec.ua/product/slinex-ml-20hd-black-silver;;;;Ще краща  ціна за 📞;;;;;;;0,300;4,5;13,0;2,4;;Кількість абонентів;;1;Камера;;1/2,9″ CMOS;Роздільна здатність;;1920×1080 (режим AHD-H), 1280×720 (режим AHD-M), 960 ТВЛ (режим CVBS);Кути огляду;;115°;Тип підсвічування;;ІЧ 1.5 м;Керування замком;;Нормально-відкриті контакти (суха пара);Живлення;;Мережа 12В;Робоча температура;;-40 – +50 °С;Ступінь захисту;;IP65;Розміри;;45×130×24 мм;Розмір упаковки (Ш х В х Г);;130 x 45 x 24 мм;Вага брутто;;300;Строк гарантії;;24 міс.;Роздільна здатність камери (ТВЛ);;960;Кут огляду камери;град.;115;Захист обладнання від води і пилу IP;;IP65;Ширина;мм;45;Висота;мм;130;Довжина;мм;24;Вага;г;300;Гарантійний термін;міс;24;Тип устройства;;Відеопанель кольорова виклична;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
